FN-DUO-02,FN-DUO-01,subtotal,FN-SQUAD,AoE-SOLO,FN-SQUAD-02,id,FN-SQUAD-01,FN-SOLO-01,orderNumber,FN-SOLO,orderDate,AOE-SOLO-01,AOE-SOLO-02,FN-DUO,FN-SOLO-02,currency
0,0,5.00,0,0,0,5afb78728a922d0d383423e3,0,0,26,0,2018-05-16T00:16:50.118Z,1,0,0,0,USD
0,0,5.00,0,0,0,5afb7710f950b71b08d3c115,0,0,25,0,2018-05-16T00:10:56.831Z,1,0,0,0,USD
0,0,5.00,0,0,0,5afb7639575d1f1ace24839e,0,0,24,0,2018-05-16T00:07:21.476Z,1,0,0,0,USD
0,0,5.00,0,0,0,5afb59e4562fa70a9c60f881,0,0,23,0,2018-05-15T22:06:28.939Z,1,0,0,0,USD
