id,orderNumber,orderDate,subtotal,currency,FN-DUO,FN-SOLO,FN-SQUAD,AoE-SOLO,FN-SOLO-01,FN-SOLO-02,FN-DUO-01,FN-DUO-02,FN-SQUAD-01,FN-SQUAD-02,AoE-SOLO-01,AoE-SOLO-02
5ab316d81ae6cffd4cd162f8,18,2018-03-22T02:37:12.202Z,5.00,USD,0,0,0,0,1,0,0,0,0,0,0,0
5ab316cff950b7346967a346,17,2018-03-22T02:37:03.117Z,5.00,USD,0,0,0,0,1,0,0,0,0,0,0,0
5aaeb4ee70a6adbf54cabda2,16,2018-03-18T18:50:22.016Z,5.00,USD,1,0,0,0,0,0,0,0,0,0,0,0
5aae959b6d2a7312c15ccbbe,15,2018-03-18T16:36:43.438Z,20.00,USD,1,3,0,0,0,0,0,0,0,0,0,0
5aae7f960e2e725448e3ea10,14,2018-03-18T15:02:46.803Z,5.00,USD,0,1,0,0,0,0,0,0,0,0,0,0
